GPS,Latitude,Longitude,Altitude,Date,Time 

GPS3,48.781654,11.475328,0.000,28-3-2023,13:57:46
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:46
GPS1,48.781631,11.475247,0.000,28-3-2023,13:57:46
GPS3,48.781654,11.475328,0.000,28-3-2023,13:57:46
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:46
GPS1,48.781631,11.475247,0.000,28-3-2023,13:57:46
GPS3,48.781654,11.475329,0.000,28-3-2023,13:57:47
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:47
GPS1,48.781635,11.475244,0.000,28-3-2023,13:57:47
GPS3,48.781654,11.475329,0.000,28-3-2023,13:57:47
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:47
GPS1,48.781635,11.475244,0.000,28-3-2023,13:57:47
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:48
GPS3,48.781654,11.475329,0.000,28-3-2023,13:57:48
GPS1,48.781639,11.475243,0.000,28-3-2023,13:57:48
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:48
GPS3,48.781654,11.475329,0.000,28-3-2023,13:57:48
GPS1,48.781639,11.475243,0.000,28-3-2023,13:57:48
GPS1,48.781639,11.475243,0.000,28-3-2023,13:57:48
GPS3,48.781654,11.475330,0.000,28-3-2023,13:57:49
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:49
GPS1,48.781642,11.475241,0.000,28-3-2023,13:57:49
GPS3,48.781654,11.475330,0.000,28-3-2023,13:57:49
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:49
GPS1,48.781642,11.475241,0.000,28-3-2023,13:57:49
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:50
GPS3,48.781654,11.475330,0.000,28-3-2023,13:57:50
GPS1,48.781646,11.475239,0.000,28-3-2023,13:57:50
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:50
GPS3,48.781654,11.475330,0.000,28-3-2023,13:57:50
GPS1,48.781646,11.475239,0.000,28-3-2023,13:57:50
GPS3,48.781654,11.475330,0.000,28-3-2023,13:57:51
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:51
GPS1,48.781650,11.475238,0.000,28-3-2023,13:57:51
GPS3,48.781654,11.475330,0.000,28-3-2023,13:57:51
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:51
GPS1,48.781650,11.475238,0.000,28-3-2023,13:57:51
GPS3,48.781654,11.475329,0.000,28-3-2023,13:57:52
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:52
GPS1,48.781650,11.475236,0.000,28-3-2023,13:57:52
GPS3,48.781654,11.475329,0.000,28-3-2023,13:57:52
GPS2,48.781642,11.475301,0.000,28-3-2023,13:57:52
GPS1,48.781650,11.475236,0.000,28-3-2023,13:57:52
GPS3,48.781654,11.475329,0.000,28-3-2023,13:57:53
