GPS, Latitude, Longitude, Altitude, Date, Time 
GPS2,48.781696,11.475407,0.000,23-3-2023,14:42:29
GPS3,48.781677,11.475352,0.000,23-3-2023,14:42:29
GPS1,48.781684,11.475362,0.000,23-3-2023,14:42:29
GPS2,48.781696,11.475407,0.000,23-3-2023,14:42:29
GPS3,48.781677,11.475352,0.000,23-3-2023,14:42:29
GPS1,48.781684,11.475362,0.000,23-3-2023,14:42:29
GPS1,48.781684,11.475362,0.000,23-3-2023,14:42:29
GPS3,48.781677,11.475352,0.000,23-3-2023,14:42:29
GPS2,48.781696,11.475407,0.000,23-3-2023,14:42:29
GPS1,48.781684,11.475362,0.000,23-3-2023,14:42:29
GPS3,48.781677,11.475352,0.000,23-3-2023,14:42:29
GPS2,48.781646,11.475602,0.000,23-3-2023,14:42:41
GPS3,48.781620,11.475536,0.000,23-3-2023,14:42:41
GPS1,48.781639,11.475542,0.000,23-3-2023,14:42:41
GPS2,48.781646,11.475602,0.000,23-3-2023,14:42:41
GPS3,48.781620,11.475536,0.000,23-3-2023,14:42:41
GPS1,48.781639,11.475542,0.000,23-3-2023,14:42:41
GPS3,48.781620,11.475536,0.000,23-3-2023,14:42:41
GPS2,48.781646,11.475602,0.000,23-3-2023,14:42:41
GPS1,48.781639,11.475542,0.000,23-3-2023,14:42:41
GPS3,48.781620,11.475536,0.000,23-3-2023,14:42:41
GPS2,48.781612,11.475800,0.000,23-3-2023,14:42:52
GPS3,48.781566,11.475719,0.000,23-3-2023,14:42:52
GPS1,48.781593,11.475747,0.000,23-3-2023,14:42:52
GPS2,48.781612,11.475800,0.000,23-3-2023,14:42:52
GPS3,48.781566,11.475719,0.000,23-3-2023,14:42:52
GPS1,48.781593,11.475747,0.000,23-3-2023,14:42:52
GPS3,48.781566,11.475719,0.000,23-3-2023,14:42:52
GPS1,48.781593,11.475747,0.000,23-3-2023,14:42:52
GPS3,48.781566,11.475719,0.000,23-3-2023,14:42:52
GPS1,48.781593,11.475747,0.000,23-3-2023,14:42:52
GPS2,48.781612,11.475800,0.000,23-3-2023,14:42:52
GPS3,48.781425,11.475727,0.000,23-3-2023,14:43:4
GPS2,48.781452,11.475753,0.000,23-3-2023,14:43:4
GPS1,48.781448,11.475723,0.000,23-3-2023,14:43:4
GPS3,48.781425,11.475727,0.000,23-3-2023,14:43:4
GPS2,48.781452,11.475753,0.000,23-3-2023,14:43:4
GPS1,48.781448,11.475723,0.000,23-3-2023,14:43:4
GPS3,48.781425,11.475727,0.000,23-3-2023,14:43:4
GPS1,48.781448,11.475723,0.000,23-3-2023,14:43:4
GPS2,48.781452,11.475753,0.000,23-3-2023,14:43:4
GPS3,48.781425,11.475727,0.000,23-3-2023,14:43:4
GPS1,48.781448,11.475723,0.000,23-3-2023,14:43:4
GPS3,48.781253,11.475646,0.000,23-3-2023,14:43:16
GPS2,48.781246,11.475728,0.000,23-3-2023,14:43:16
GPS1,48.781276,11.475622,0.000,23-3-2023,14:43:16
GPS3,48.781253,11.475646,0.000,23-3-2023,14:43:16
GPS2,48.781246,11.475728,0.000,23-3-2023,14:43:16
GPS1,48.781276,11.475622,0.000,23-3-2023,14:43:16
GPS3,48.781147,11.475583,0.000,23-3-2023,14:43:23
GPS2,48.781131,11.475654,0.000,23-3-2023,14:43:23
GPS1,48.781185,11.475560,0.000,23-3-2023,14:43:23
GPS3,48.781147,11.475583,0.000,23-3-2023,14:43:23
GPS2,48.781131,11.475654,0.000,23-3-2023,14:43:23
GPS1,48.781185,11.475560,0.000,23-3-2023,14:43:23
GPS2,48.781017,11.475605,0.000,23-3-2023,14:43:30
GPS3,48.781040,11.475540,0.000,23-3-2023,14:43:30
GPS1,48.781082,11.475522,0.000,23-3-2023,14:43:30
GPS2,48.781017,11.475605,0.000,23-3-2023,14:43:30
GPS3,48.781040,11.475540,0.000,23-3-2023,14:43:30
GPS3,48.781040,11.475540,0.000,23-3-2023,14:43:30
GPS1,48.781082,11.475522,0.000,23-3-2023,14:43:30
GPS2,48.781017,11.475605,0.000,23-3-2023,14:43:30
GPS3,48.781040,11.475540,0.000,23-3-2023,14:43:30
GPS1,48.781082,11.475522,0.000,23-3-2023,14:43:30
GPS2,48.780979,11.475580,0.000,23-3-2023,14:43:41
GPS3,48.781002,11.475480,0.000,23-3-2023,14:43:41
GPS1,48.781040,11.475509,0.000,23-3-2023,14:43:41
GPS3,48.781002,11.475480,0.000,23-3-2023,14:43:41
GPS2,48.780979,11.475580,0.000,23-3-2023,14:43:41
