GPS,Latitude,Longitude,Altitude,Date,Time
GPS2,0.000000,0.000000,0.000,28-3-2023,10:35:11
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:11
GPS2,0.000000,0.000000,0.000,28-3-2023,10:35:11
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:11
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS2,0.000000,0.000000,0.000,28-3-2023,10:35:11
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS2,0.000000,0.000000,0.000,28-3-2023,10:35:12
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:12
GPS2,0.000000,0.000000,0.000,28-3-2023,10:35:12
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:12
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS2,0.000000,0.000000,0.000,28-3-2023,10:35:12
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:13
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:13
GPS2,48.781314,11.476016,0.000,28-3-2023,10:35:13
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:13
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS2,48.781330,11.475997,0.000,28-3-2023,10:35:14
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:14
GPS2,48.781330,11.475997,0.000,28-3-2023,10:35:14
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:14
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:15
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:15
GPS2,48.781333,11.475996,0.000,28-3-2023,10:35:15
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:15
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:16
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:16
GPS2,48.781337,11.475990,0.000,28-3-2023,10:35:16
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:16
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:17
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:17
GPS2,48.781341,11.475984,0.000,28-3-2023,10:35:17
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,0.000000,0.000000,0.000,28-3-2023,10:35:17
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS1,48.781288,11.476601,0.000,28-3-2023,10:35:18
GPS2,48.781387,11.475881,0.000,28-3-2023,10:35:18
GPS1,48.781288,11.476601,0.000,28-3-2023,10:35:18
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS2,48.781387,11.475881,0.000,28-3-2023,10:35:18
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS3,0.000000,0.000000,0.000,0-0-2000,0:0:0
GPS2,48.781383,11.475872,0.000,28-3-2023,10:35:19
GPS1,48.781299,11.476471,0.000,28-3-2023,10:35:19
GPS2,48.781383,11.475872,0.000,28-3-2023,10:35:19
GPS1,48.781299,11.476471,0.000,28-3-2023,10:35:19
GPS1,48.781299,11.476471,0.000,28-3-2023,10:35:19
GPS3,48.781299,11.476056,387.200,0-0-2000,10:35:23
GPS3,48.781299,11.476056,387.200,0-0-2000,10:35:23
GPS3,48.781284,11.476074,387.200,28-3-2023,10:35:24
GPS2,48.781383,11.475875,0.000,28-3-2023,10:35:20
GPS1,48.781330,11.476118,0.000,28-3-2023,10:35:20
GPS3,48.781284,11.476074,387.200,28-3-2023,10:35:24
GPS2,48.781383,11.475875,0.000,28-3-2023,10:35:20
GPS1,48.781330,11.476118,0.000,28-3-2023,10:35:20
GPS3,48.781272,11.476086,387.200,28-3-2023,10:35:25
GPS2,48.781383,11.475879,0.000,28-3-2023,10:35:21
GPS1,48.781333,11.476073,0.000,28-3-2023,10:35:21
GPS3,48.781272,11.476086,387.200,28-3-2023,10:35:25
GPS2,48.781383,11.475879,0.000,28-3-2023,10:35:21
GPS1,48.781333,11.476073,0.000,28-3-2023,10:35:21
GPS3,48.781272,11.476092,387.200,28-3-2023,10:35:26
GPS2,48.781383,11.475880,0.000,28-3-2023,10:35:22
GPS1,48.781333,11.476030,0.000,28-3-2023,10:35:22
GPS2,48.781383,11.475880,0.000,28-3-2023,10:35:22
GPS3,48.781272,11.476092,387.200,28-3-2023,10:35:26
GPS1,48.781333,11.476030,0.000,28-3-2023,10:35:22
GPS3,48.781265,11.476101,387.200,28-3-2023,10:35:27
GPS2,48.781383,11.475880,0.000,28-3-2023,10:35:23
GPS1,48.781337,11.476000,0.000,28-3-2023,10:35:23
GPS2,48.781383,11.475880,0.000,28-3-2023,10:35:23
GPS3,48.781265,11.476101,387.200,28-3-2023,10:35:27
GPS1,48.781337,11.476000,0.000,28-3-2023,10:35:23
GPS3,48.781269,11.476102,387.200,28-3-2023,10:35:28
GPS2,48.781383,11.475878,0.000,28-3-2023,10:35:24
GPS1,48.781337,11.475975,0.000,28-3-2023,10:35:24
GPS2,48.781383,11.475878,0.000,28-3-2023,10:35:24
GPS3,48.781269,11.476102,387.200,28-3-2023,10:35:28
GPS1,48.781337,11.475975,0.000,28-3-2023,10:35:24
GPS3,48.781269,11.476104,387.200,28-3-2023,10:35:29
GPS2,48.781383,11.475873,0.000,28-3-2023,10:35:25
GPS1,48.781337,11.475968,0.000,28-3-2023,10:35:25
GPS3,48.781269,11.476104,387.200,28-3-2023,10:35:29
GPS2,48.781383,11.475873,0.000,28-3-2023,10:35:25
GPS1,48.781337,11.475968,0.000,28-3-2023,10:35:25
GPS3,48.781269,11.476102,387.200,28-3-2023,10:35:30
GPS2,48.781383,11.475870,0.000,28-3-2023,10:35:26
GPS1,48.781337,11.475970,0.000,28-3-2023,10:35:26
GPS2,48.781383,11.475870,0.000,28-3-2023,10:35:26
GPS3,48.781269,11.476102,387.200,28-3-2023,10:35:30
GPS1,48.781337,11.475970,0.000,28-3-2023,10:35:26
GPS3,48.781269,11.476105,387.200,28-3-2023,10:35:31
GPS2,48.781383,11.475869,0.000,28-3-2023,10:35:27
GPS1,48.781337,11.475975,0.000,28-3-2023,10:35:27
GPS2,48.781383,11.475869,0.000,28-3-2023,10:35:27
GPS3,48.781269,11.476105,387.200,28-3-2023,10:35:31
GPS1,48.781337,11.475975,0.000,28-3-2023,10:35:27
GPS3,48.781265,11.476106,387.200,28-3-2023,10:35:32
GPS2,48.781383,11.475868,0.000,28-3-2023,10:35:28
GPS1,48.781337,11.475977,0.000,28-3-2023,10:35:28
GPS2,48.781383,11.475868,0.000,28-3-2023,10:35:28
GPS3,48.781265,11.476106,387.200,28-3-2023,10:35:32
GPS1,48.781337,11.475977,0.000,28-3-2023,10:35:28
GPS2,48.781383,11.475868,0.000,28-3-2023,10:35:28
GPS1,48.781337,11.475977,0.000,28-3-2023,10:35:28
GPS2,48.781383,11.475868,0.000,28-3-2023,10:35:28
GPS3,48.781265,11.476106,387.200,28-3-2023,10:35:32
GPS1,48.781337,11.475977,0.000,28-3-2023,10:35:28
GPS2,48.781383,11.475868,0.000,28-3-2023,10:35:28
GPS3,48.781269,11.476105,387.200,28-3-2023,10:35:34
GPS2,48.781387,11.475866,0.000,28-3-2023,10:35:30
GPS1,48.781337,11.475977,0.000,28-3-2023,10:35:30
GPS2,48.781387,11.475866,0.000,28-3-2023,10:35:30
GPS3,48.781269,11.476105,387.200,28-3-2023,10:35:34
GPS1,48.781337,11.475977,0.000,28-3-2023,10:35:30
GPS3,48.781265,11.476107,387.200,28-3-2023,10:35:35
GPS2,48.781387,11.475867,0.000,28-3-2023,10:35:31
GPS1,48.781337,11.475978,0.000,28-3-2023,10:35:31
GPS3,48.781265,11.476107,387.200,28-3-2023,10:35:35
GPS2,48.781387,11.475867,0.000,28-3-2023,10:35:31
GPS1,48.781337,11.475978,0.000,28-3-2023,10:35:31
GPS3,48.781265,11.476108,387.200,28-3-2023,10:35:36
GPS2,48.781387,11.475867,0.000,28-3-2023,10:35:32
GPS1,48.781337,11.475976,0.000,28-3-2023,10:35:32
GPS2,48.781387,11.475867,0.000,28-3-2023,10:35:32
GPS3,48.781265,11.476108,387.200,28-3-2023,10:35:36
GPS1,48.781337,11.475976,0.000,28-3-2023,10:35:32
GPS3,48.781265,11.476109,387.200,28-3-2023,10:35:37
GPS2,48.781387,11.475866,0.000,28-3-2023,10:35:33
