Latitude,Longitude,Time
Latitude,Longitude,Time
48.772453,11.380930,13:22:34
48.772453,11.380930,13:22:34
48.772224,11.380901,13:22:37
48.772224,11.380901,13:22:37
48.772186,11.380884,13:22:39
48.772186,11.380884,13:22:39
48.772186,11.380884,13:22:39
48.772186,11.380884,13:22:39
48.772186,11.380884,13:22:39
48.772186,11.380884,13:22:39
48.772075,11.380890,13:22:46
48.772075,11.380890,13:22:46
48.772048,11.380926,13:22:48
48.772048,11.380926,13:22:48
48.772048,11.380926,13:22:48
48.772048,11.380926,13:22:48
48.772048,11.380926,13:22:48
48.772048,11.380926,13:22:48
48.772064,11.380880,13:22:55
48.772064,11.380880,13:22:55
48.772068,11.380877,13:22:57
48.772068,11.380877,13:22:57
48.772068,11.380877,13:22:57
48.772068,11.380877,13:22:57
48.772068,11.380877,13:22:57
48.772068,11.380877,13:22:57
48.771968,11.381054,13:23:4
48.771968,11.381054,13:23:4
48.772056,11.380922,13:23:6
48.772056,11.380922,13:23:6
48.772056,11.380922,13:23:6
48.772056,11.380922,13:23:6
48.772056,11.380922,13:23:6
48.772121,11.380867,13:23:12
48.772121,11.380867,13:23:12
48.772121,11.380867,13:23:12
48.772121,11.380867,13:23:12
48.772121,11.380867,13:23:12
48.772121,11.380867,13:23:12
48.772121,11.380867,13:23:12
48.772121,11.380867,13:23:12
48.772247,11.380781,13:23:21
48.772247,11.380781,13:23:21
48.772247,11.380781,13:23:21
48.772247,11.380781,13:23:21
48.772247,11.380781,13:23:21
48.772247,11.380781,13:23:21
48.772289,11.380819,13:23:28
48.772289,11.380819,13:23:28
48.772285,11.380814,13:23:30
48.772285,11.380814,13:23:30
48.772285,11.380814,13:23:30
48.772285,11.380814,13:23:30
48.772285,11.380814,13:23:30
48.772285,11.380814,13:23:35
48.772319,11.380855,13:23:37
48.772319,11.380855,13:23:37
48.772365,11.380864,13:23:39
48.772365,11.380864,13:23:39
48.772365,11.380864,13:23:39
48.772365,11.380864,13:23:39
48.772365,11.380864,13:23:39
48.772365,11.380864,13:23:39
48.772506,11.380843,13:23:46
48.772506,11.380843,13:23:46
48.772518,11.380827,13:23:48
48.772518,11.380827,13:23:48
48.772518,11.380827,13:23:48
48.772518,11.380827,13:23:48
48.772518,11.380827,13:23:48
48.772518,11.380827,13:23:48
48.772518,11.380827,13:23:48
48.772579,11.380825,13:23:56
48.772579,11.380825,13:23:56
48.772605,11.380821,13:23:58
48.772605,11.380821,13:23:58
48.772605,11.380821,13:23:58
48.772605,11.380821,13:23:58
48.772605,11.380821,13:23:58
48.772605,11.380821,13:23:58
48.772682,11.380812,13:24:5
48.772682,11.380812,13:24:5
48.772697,11.380810,13:24:7
48.772697,11.380810,13:24:7
48.772697,11.380810,13:24:7
48.772697,11.380810,13:24:7
48.772697,11.380810,13:24:7
48.772697,11.380810,13:24:7
48.772769,11.380812,13:24:14
48.772769,11.380812,13:24:14
48.772796,11.380803,13:24:16
48.772796,11.380803,13:24:16
48.772796,11.380803,13:24:16
48.772796,11.380803,13:24:16
48.772796,11.380803,13:24:16
48.772865,11.380773,13:24:22
48.772865,11.380773,13:24:22
48.772876,11.380762,13:24:24
48.772876,11.380762,13:24:24
48.772876,11.380762,13:24:24
48.772876,11.380762,13:24:24
48.772876,11.380762,13:24:24
48.772876,11.380762,13:24:24
48.772903,11.380667,13:24:31
48.772903,11.380667,13:24:31
48.772914,11.380631,13:24:33
48.772914,11.380631,13:24:33
48.772914,11.380631,13:24:33
48.772914,11.380631,13:24:33
48.772914,11.380631,13:24:33
48.772914,11.380631,13:24:33
48.772914,11.380631,13:24:33
48.772914,11.380631,13:24:33
48.772914,11.380469,13:24:42
48.772914,11.380469,13:24:42
48.772914,11.380436,13:24:44
48.772914,11.380436,13:24:44
48.772914,11.380436,13:24:44
48.772914,11.380436,13:24:44
48.772914,11.380436,13:24:44
48.772949,11.380350,13:24:50
48.772949,11.380350,13:24:50
48.772956,11.380319,13:24:52
48.772956,11.380319,13:24:52
48.772956,11.380319,13:24:52
48.772956,11.380319,13:24:52
48.772956,11.380319,13:24:52
48.772994,11.380245,13:24:58
48.772994,11.380245,13:24:58
48.773010,11.380220,13:25:0
48.773010,11.380220,13:25:0
48.773010,11.380220,13:25:0
48.773010,11.380220,13:25:0
48.773010,11.380220,13:25:0
48.773010,11.380220,13:25:0
48.773063,11.380105,13:25:7
48.773063,11.380105,13:25:7
48.773067,11.380076,13:25:9
48.773067,11.380076,13:25:9
48.773067,11.380076,13:25:9
48.773067,11.380076,13:25:9
48.773067,11.380076,13:25:9
48.773048,11.379997,13:25:15
48.773048,11.379997,13:25:15
48.773048,11.379972,13:25:17
48.773048,11.379972,13:25:17
48.773048,11.379972,13:25:17
48.773048,11.379972,13:25:17
48.773048,11.379972,13:25:17
48.773048,11.379972,13:21:7
48.773014,11.379854,13:25:24
48.773014,11.379854,13:25:24
48.773010,11.379829,13:25:26
48.773010,11.379829,13:25:26
48.773010,11.379829,13:25:26
48.773010,11.379829,13:25:26
48.773010,11.379829,13:25:26
48.772998,11.379729,13:25:32
48.772998,11.379729,13:25:32
48.773006,11.379691,13:25:34
48.773006,11.379691,13:25:34
48.773006,11.379691,13:25:34
48.773006,11.379691,13:25:34
48.773006,11.379691,13:25:34
48.773006,11.379691,13:25:34
48.772983,11.379546,13:25:41
48.772983,11.379546,13:25:41
48.772994,11.379522,13:25:43
48.772994,11.379522,13:25:43
48.772994,11.379522,13:25:43
48.772994,11.379522,13:25:43
48.772994,11.379522,13:25:43
48.772994,11.379522,13:25:43
48.772994,11.379397,13:25:50
48.772994,11.379397,13:25:50
48.772998,11.379369,13:25:52
48.772998,11.379369,13:25:52
48.772998,11.379369,13:25:52
48.772998,11.379369,13:25:52
48.772998,11.379369,13:25:52
48.772998,11.379369,13:25:52
48.772998,11.379257,13:25:59
48.772998,11.379257,13:25:59
48.773002,11.379227,13:26:1
48.773002,11.379227,13:26:1
48.773002,11.379227,13:26:1
48.773002,11.379227,13:26:1
48.773002,11.379227,13:26:1
48.773002,11.379227,13:26:7
48.773002,11.379227,13:26:7
48.773002,11.379227,13:26:7
48.773002,11.379227,13:26:7
48.773002,11.379227,13:26:7
48.773002,11.379227,13:26:7
48.773002,11.379227,13:26:7
48.773002,11.379227,13:26:7
48.773136,11.378967,13:26:12
48.773136,11.378967,13:26:12
48.772994,11.378948,13:26:14
48.772994,11.378948,13:26:14
48.772994,11.378948,13:26:14
48.772994,11.378948,13:26:14
48.772994,11.378948,13:26:14
48.772994,11.378948,13:26:14
48.772888,11.378865,13:26:21
48.772888,11.378865,13:26:21
48.772891,11.378818,13:26:23
48.772891,11.378818,13:26:23
48.772891,11.378818,13:26:23
48.772891,11.378818,13:26:23
48.772891,11.378818,13:26:28
48.772891,11.378818,13:26:28
48.772891,11.378818,13:26:28
48.772891,11.378818,13:26:28
48.772891,11.378818,13:26:28
48.772891,11.378818,13:26:28
48.772891,11.378818,13:26:28
48.772891,11.378818,13:26:35
48.772891,11.378818,13:26:35
48.772891,11.378818,13:26:36
48.772891,11.378818,13:26:36
48.772823,11.378676,13:26:40
48.772823,11.378676,13:26:40
48.772792,11.378701,13:26:42
48.772792,11.378701,13:26:42
48.772792,11.378701,13:26:42
48.772792,11.378701,13:26:42
48.772792,11.378701,13:26:42
48.772708,11.378745,13:26:48
48.772708,11.378745,13:26:48
48.772682,11.378749,13:26:50
48.772682,11.378749,13:26:50
48.772682,11.378749,13:26:50
48.772682,11.378749,13:26:50
48.772682,11.378749,13:26:50
48.772624,11.378751,13:26:56
48.772624,11.378751,13:26:56
48.772624,11.378751,13:26:56
48.772624,11.378751,13:26:56
48.772624,11.378751,13:26:56
48.772624,11.378751,13:27:2
48.772624,11.378751,13:27:2
48.772624,11.378751,13:27:2
48.772624,11.378751,13:27:2
48.772624,11.378751,13:27:2
48.772624,11.378751,13:27:2
48.772624,11.378751,13:27:2
48.772624,11.378751,13:27:9
48.772624,11.378751,13:27:9
48.772624,11.378751,13:27:10
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:13
48.772624,11.378751,13:27:23
48.772624,11.378751,13:27:24
48.772624,11.378751,13:27:25
48.772624,11.378751,13:27:26
48.772624,11.378751,13:27:27
48.772624,11.378751,13:27:28
48.772624,11.378751,13:27:29
48.772624,11.378751,13:27:30
48.772624,11.378751,13:27:31
48.772624,11.378751,13:27:32
48.772624,11.378751,13:27:33
48.772624,11.378751,13:27:34
48.772624,11.378751,13:27:35
48.772624,11.378751,13:27:36
48.772624,11.378751,13:27:37
48.772624,11.378751,13:27:38
48.772624,11.378751,13:27:39
48.772624,11.378751,13:27:40
48.772624,11.378751,13:27:41
48.772624,11.378751,13:27:42
48.772624,11.378751,13:27:44
48.772624,11.378751,13:27:44
48.772624,11.378751,13:27:44
48.772624,11.378751,13:27:44
48.772624,11.378751,13:27:44
48.772624,11.378751,13:27:44
