GPS,Latitude,Longitude,Altitude,Date,Time 

GPS2,0.000000,0.000000,0.000,,
GPS3,0.000000,0.000000,0.000,,
GPS1,0.000000,0.000000,0.000,,
GPS2,0.000000,0.000000,0.000,,
GPS3,0.000000,0.000000,0.000,,
GPS1,0.000000,0.000000,0.000,,
GPS2,0.000000,0.000000,0.000,,
GPS3,0.000000,0.000000,0.000,,
GPS1,0.000000,0.000000,0.000,,
GPS2,48.781021,11.475491,0.000,28-3-2023,13:49:12
GPS3,48.780941,11.475624,0.000,28-3-2023,13:49:12
GPS1,48.780883,11.475580,0.000,28-3-2023,13:49:12
GPS2,48.781021,11.475491,0.000,28-3-2023,13:49:12
GPS3,48.780941,11.475624,0.000,28-3-2023,13:49:12
GPS1,48.780883,11.475580,0.000,28-3-2023,13:49:12
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:13
GPS2,48.781021,11.475488,0.000,28-3-2023,13:49:13
GPS1,48.780879,11.475580,0.000,28-3-2023,13:49:13
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:13
GPS2,48.781021,11.475488,0.000,28-3-2023,13:49:13
GPS1,48.780879,11.475580,0.000,28-3-2023,13:49:13
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:14
GPS2,48.781024,11.475484,0.000,28-3-2023,13:49:14
GPS1,48.780879,11.475581,0.000,28-3-2023,13:49:14
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:14
GPS2,48.781024,11.475484,0.000,28-3-2023,13:49:14
GPS1,48.780879,11.475581,0.000,28-3-2023,13:49:14
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:15
GPS2,48.781024,11.475480,0.000,28-3-2023,13:49:15
GPS1,48.780879,11.475581,0.000,28-3-2023,13:49:15
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:15
GPS2,48.781024,11.475480,0.000,28-3-2023,13:49:15
GPS1,48.780879,11.475581,0.000,28-3-2023,13:49:15
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:16
GPS2,48.781024,11.475477,0.000,28-3-2023,13:49:16
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:16
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:16
GPS2,48.781024,11.475477,0.000,28-3-2023,13:49:16
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:16
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:17
GPS2,48.781024,11.475474,0.000,28-3-2023,13:49:17
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:17
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:17
GPS2,48.781024,11.475474,0.000,28-3-2023,13:49:17
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:17
GPS2,48.781024,11.475472,0.000,28-3-2023,13:49:18
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:18
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:18
GPS2,48.781024,11.475472,0.000,28-3-2023,13:49:18
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:18
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:18
GPS2,48.781028,11.475468,0.000,28-3-2023,13:49:19
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:19
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:19
GPS2,48.781028,11.475468,0.000,28-3-2023,13:49:19
GPS3,48.780941,11.475625,0.000,28-3-2023,13:49:19
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:19
GPS3,48.780944,11.475623,0.000,28-3-2023,13:49:20
GPS2,48.781028,11.475466,0.000,28-3-2023,13:49:20
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:20
GPS3,48.780944,11.475623,0.000,28-3-2023,13:49:20
GPS2,48.781028,11.475466,0.000,28-3-2023,13:49:20
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:20
GPS2,48.781028,11.475466,0.000,28-3-2023,13:49:20
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:20
GPS3,48.780944,11.475623,0.000,28-3-2023,13:49:20
GPS2,48.781028,11.475466,0.000,28-3-2023,13:49:20
GPS1,48.780879,11.475582,0.000,28-3-2023,13:49:20
GPS3,48.780944,11.475619,0.000,28-3-2023,13:49:22
GPS2,48.781028,11.475462,0.000,28-3-2023,13:49:22
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:22
GPS3,48.780944,11.475619,0.000,28-3-2023,13:49:22
GPS2,48.781028,11.475462,0.000,28-3-2023,13:49:22
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:22
GPS3,48.780944,11.475616,0.000,28-3-2023,13:49:23
GPS2,48.781028,11.475463,0.000,28-3-2023,13:49:23
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:23
GPS3,48.780944,11.475616,0.000,28-3-2023,13:49:23
GPS2,48.781028,11.475463,0.000,28-3-2023,13:49:23
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:23
GPS3,48.780944,11.475613,0.000,28-3-2023,13:49:24
GPS2,48.781032,11.475461,0.000,28-3-2023,13:49:24
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:24
GPS3,48.780944,11.475613,0.000,28-3-2023,13:49:24
GPS2,48.781032,11.475461,0.000,28-3-2023,13:49:24
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:24
GPS3,48.780944,11.475610,0.000,28-3-2023,13:49:25
GPS2,48.781036,11.475458,0.000,28-3-2023,13:49:25
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:25
GPS3,48.780944,11.475610,0.000,28-3-2023,13:49:25
GPS2,48.781036,11.475458,0.000,28-3-2023,13:49:25
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:25
GPS3,48.780944,11.475608,0.000,28-3-2023,13:49:26
GPS2,48.781040,11.475455,0.000,28-3-2023,13:49:26
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:26
GPS3,48.780944,11.475608,0.000,28-3-2023,13:49:26
GPS2,48.781040,11.475455,0.000,28-3-2023,13:49:26
GPS1,48.780879,11.475583,0.000,28-3-2023,13:49:26
GPS3,48.780944,11.475605,0.000,28-3-2023,13:49:27
GPS2,48.781047,11.475453,0.000,28-3-2023,13:49:27
GPS1,48.780883,11.475583,0.000,28-3-2023,13:49:27
GPS3,48.780944,11.475605,0.000,28-3-2023,13:49:27
GPS2,48.781047,11.475453,0.000,28-3-2023,13:49:27
GPS1,48.780883,11.475583,0.000,28-3-2023,13:49:27
GPS2,48.781047,11.475452,0.000,28-3-2023,13:49:28
GPS3,48.780944,11.475604,0.000,28-3-2023,13:49:28
GPS1,48.780883,11.475582,0.000,28-3-2023,13:49:28
GPS2,48.781047,11.475452,0.000,28-3-2023,13:49:28
GPS3,48.780944,11.475604,0.000,28-3-2023,13:49:28
GPS1,48.780883,11.475582,0.000,28-3-2023,13:49:28
GPS2,48.781051,11.475449,0.000,28-3-2023,13:49:29
GPS3,48.780944,11.475602,0.000,28-3-2023,13:49:29
GPS1,48.780883,11.475582,0.000,28-3-2023,13:49:29
GPS2,48.781051,11.475449,0.000,28-3-2023,13:49:29
GPS3,48.780944,11.475602,0.000,28-3-2023,13:49:29
GPS1,48.780883,11.475582,0.000,28-3-2023,13:49:29
GPS2,48.781055,11.475446,0.000,28-3-2023,13:49:30
GPS3,48.780944,11.475600,0.000,28-3-2023,13:49:30
GPS1,48.780883,11.475582,0.000,28-3-2023,13:49:30
GPS2,48.781055,11.475446,0.000,28-3-2023,13:49:30
GPS3,48.780944,11.475600,0.000,28-3-2023,13:49:30
GPS1,48.780883,11.475582,0.000,28-3-2023,13:49:30
GPS3,48.780944,11.475598,0.000,28-3-2023,13:49:31
GPS2,48.781051,11.475450,0.000,28-3-2023,13:49:31
GPS1,48.780883,11.475582,0.000,28-3-2023,13:49:31
GPS3,48.780944,11.475598,0.000,28-3-2023,13:49:31
GPS2,48.781051,11.475450,0.000,28-3-2023,13:49:31
GPS1,48.780883,11.475582,0.000,28-3-2023,13:49:31
GPS2,48.781047,11.475451,0.000,28-3-2023,13:49:32
GPS3,48.780944,11.475595,0.000,28-3-2023,13:49:32
GPS1,48.780887,11.475581,0.000,28-3-2023,13:49:32
GPS2,48.781047,11.475451,0.000,28-3-2023,13:49:32
GPS3,48.780944,11.475595,0.000,28-3-2023,13:49:32
GPS1,48.780887,11.475581,0.000,28-3-2023,13:49:32
GPS2,48.781044,11.475452,0.000,28-3-2023,13:49:33
GPS3,48.780944,11.475591,0.000,28-3-2023,13:49:33
GPS1,48.780887,11.475582,0.000,28-3-2023,13:49:33
GPS2,48.781044,11.475452,0.000,28-3-2023,13:49:33
GPS3,48.780944,11.475591,0.000,28-3-2023,13:49:33
GPS1,48.780887,11.475582,0.000,28-3-2023,13:49:33
GPS2,48.781044,11.475451,0.000,28-3-2023,13:49:34
GPS3,48.780944,11.475587,0.000,28-3-2023,13:49:34
GPS1,48.780887,11.475580,0.000,28-3-2023,13:49:34
GPS2,48.781044,11.475451,0.000,28-3-2023,13:49:34
GPS3,48.780944,11.475587,0.000,28-3-2023,13:49:34
GPS1,48.780887,11.475580,0.000,28-3-2023,13:49:34
GPS3,48.780948,11.475584,0.000,28-3-2023,13:49:35
GPS2,48.781044,11.475449,0.000,28-3-2023,13:49:35
GPS1,48.780891,11.475580,0.000,28-3-2023,13:49:35
GPS1,48.780891,11.475580,0.000,28-3-2023,13:49:35
GPS3,48.780948,11.475584,0.000,28-3-2023,13:49:35
GPS2,48.781044,11.475449,0.000,28-3-2023,13:49:35
GPS2,48.781044,11.475453,0.000,28-3-2023,13:49:36
GPS3,48.780952,11.475585,0.000,28-3-2023,13:49:36
GPS1,48.780899,11.475581,0.000,28-3-2023,13:49:36
GPS2,48.781044,11.475453,0.000,28-3-2023,13:49:36
GPS3,48.780952,11.475585,0.000,28-3-2023,13:49:36
GPS1,48.780899,11.475581,0.000,28-3-2023,13:49:36
GPS3,48.780956,11.475587,0.000,28-3-2023,13:49:37
GPS2,48.781047,11.475458,0.000,28-3-2023,13:49:37
GPS1,48.780906,11.475583,0.000,28-3-2023,13:49:37
GPS3,48.780956,11.475587,0.000,28-3-2023,13:49:37
