GPS,Latitude,Longitude,Speed,RPM,Date,Time
GPS2,48.781948,11.474873,0.000000,0,14-4-2023,10:48:52
GPS3,48.781948,11.474881,0.000000,0,14-4-2023,10:48:48
GPS1,48.781948,11.474968,0.041156,0,14-4-2023,10:48:48
GPS2,48.781948,11.474873,0.000000,0,14-4-2023,10:48:52
GPS3,48.781948,11.474881,0.000000,0,14-4-2023,10:48:48
GPS1,48.781948,11.474968,0.041156,0,14-4-2023,10:48:48
GPS2,48.781948,11.474873,0.010289,0,14-4-2023,10:48:53
GPS3,48.781948,11.474881,0.000000,0,14-4-2023,10:48:49
GPS1,48.781948,11.474969,0.015433,0,14-4-2023,10:48:49
GPS2,48.781948,11.474873,0.010289,0,14-4-2023,10:48:53
GPS3,48.781948,11.474881,0.000000,0,14-4-2023,10:48:49
GPS1,48.781948,11.474969,0.015433,0,14-4-2023,10:48:49
GPS2,48.781944,11.474873,0.010289,0,14-4-2023,10:48:54
GPS3,48.781944,11.474881,0.005144,0,14-4-2023,10:48:50
GPS1,48.781948,11.474970,0.036011,0,14-4-2023,10:48:50
GPS2,48.781944,11.474873,0.010289,0,14-4-2023,10:48:54
GPS3,48.781944,11.474881,0.005144,0,14-4-2023,10:48:50
GPS1,48.781948,11.474970,0.036011,0,14-4-2023,10:48:50
GPS2,48.781944,11.474873,0.020578,0,14-4-2023,10:48:55
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:51
GPS1,48.781944,11.474975,0.385833,0,14-4-2023,10:48:51
GPS2,48.781944,11.474873,0.020578,0,14-4-2023,10:48:55
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:51
GPS1,48.781944,11.474975,0.385833,0,14-4-2023,10:48:51
GPS2,48.781944,11.474872,0.005144,0,14-4-2023,10:48:56
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:52
GPS1,48.781944,11.474978,0.082311,0,14-4-2023,10:48:52
GPS2,48.781944,11.474872,0.005144,0,14-4-2023,10:48:56
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:52
GPS1,48.781944,11.474978,0.082311,0,14-4-2023,10:48:52
GPS2,48.781940,11.474870,0.010289,0,14-4-2023,10:48:57
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:53
