GPS,Latitude,Longitude,Speed,RPM,Date,Time 
GPS2,48.782844,11.476733,0.005144,0,14-4-2023,11:11:37
GPS3,48.782783,11.476676,0.000000,0,14-4-2023,11:11:37
GPS1,48.782859,11.476690,0.010289,0,14-4-2023,11:11:37
GPS2,48.782844,11.476733,0.005144,0,14-4-2023,11:11:37
GPS3,48.782783,11.476676,0.000000,0,14-4-2023,11:11:37
GPS1,48.782859,11.476690,0.010289,0,14-4-2023,11:11:37
GPS2,48.782848,11.476733,0.005144,0,14-4-2023,11:11:38
GPS3,48.782787,11.476676,0.005144,0,14-4-2023,11:11:38
GPS1,48.782859,11.476689,0.010289,0,14-4-2023,11:11:38
GPS2,48.782848,11.476733,0.005144,0,14-4-2023,11:11:38
GPS3,48.782787,11.476676,0.005144,0,14-4-2023,11:11:38
GPS1,48.782859,11.476689,0.010289,0,14-4-2023,11:11:38
GPS2,48.782848,11.476732,0.010289,0,14-4-2023,11:11:39
GPS3,48.782787,11.476676,0.000000,0,14-4-2023,11:11:39
GPS1,48.782859,11.476687,0.005144,0,14-4-2023,11:11:39
GPS2,48.782848,11.476732,0.010289,0,14-4-2023,11:11:39
GPS3,48.782787,11.476676,0.000000,0,14-4-2023,11:11:39
GPS1,48.782859,11.476687,0.005144,0,14-4-2023,11:11:39
GPS2,48.782848,11.476732,0.000000,0,14-4-2023,11:11:40
GPS3,48.782787,11.476676,0.000000,0,14-4-2023,11:11:40
GPS1,48.782859,11.476686,0.015433,0,14-4-2023,11:11:40
GPS2,48.782848,11.476732,0.000000,0,14-4-2023,11:11:40
GPS3,48.782787,11.476676,0.000000,0,14-4-2023,11:11:40
GPS1,48.782859,11.476686,0.015433,0,14-4-2023,11:11:40
GPS2,48.782848,11.476732,0.005144,0,14-4-2023,11:11:41
GPS3,48.782787,11.476676,0.005144,0,14-4-2023,11:11:41
GPS1,48.782859,11.476685,0.010289,0,14-4-2023,11:11:41
GPS2,48.782848,11.476732,0.005144,0,14-4-2023,11:11:41
GPS3,48.782787,11.476676,0.005144,0,14-4-2023,11:11:41
GPS1,48.782859,11.476685,0.010289,0,14-4-2023,11:11:41
GPS2,48.782848,11.476732,0.005144,0,14-4-2023,11:11:42
GPS3,48.782787,11.476677,0.010289,0,14-4-2023,11:11:42
GPS1,48.782859,11.476685,0.000000,0,14-4-2023,11:11:42
GPS2,48.782848,11.476732,0.005144,0,14-4-2023,11:11:42
GPS3,48.782787,11.476677,0.010289,0,14-4-2023,11:11:42
GPS1,48.782859,11.476685,0.000000,0,14-4-2023,11:11:42
GPS2,48.782848,11.476733,0.000000,0,14-4-2023,11:11:43
GPS3,48.782787,11.476677,0.000000,0,14-4-2023,11:11:43
GPS1,48.782859,11.476682,0.010289,0,14-4-2023,11:11:43
GPS2,48.782848,11.476733,0.000000,0,14-4-2023,11:11:43
GPS3,48.782787,11.476677,0.000000,0,14-4-2023,11:11:43
GPS1,48.782859,11.476682,0.010289,0,14-4-2023,11:11:43
GPS2,48.782848,11.476733,0.010289,0,14-4-2023,11:11:44
GPS3,48.782787,11.476676,0.005144,0,14-4-2023,11:11:44
GPS1,48.782859,11.476680,0.005144,0,14-4-2023,11:11:44
GPS2,48.782848,11.476733,0.010289,0,14-4-2023,11:11:44
GPS3,48.782787,11.476676,0.005144,0,14-4-2023,11:11:44
GPS1,48.782859,11.476680,0.005144,0,14-4-2023,11:11:44
GPS2,48.782848,11.476734,0.005144,0,14-4-2023,11:11:45
GPS3,48.782787,11.476676,0.010289,0,14-4-2023,11:11:45
GPS1,48.782859,11.476679,0.025722,0,14-4-2023,11:11:45
GPS2,48.782848,11.476734,0.005144,0,14-4-2023,11:11:45
GPS3,48.782787,11.476676,0.010289,0,14-4-2023,11:11:45
GPS1,48.782859,11.476679,0.025722,0,14-4-2023,11:11:45
GPS2,48.782848,11.476735,0.000000,0,14-4-2023,11:11:46
GPS3,48.782787,11.476677,0.000000,0,14-4-2023,11:11:46
GPS1,48.782859,11.476677,0.138900,0,14-4-2023,11:11:46
GPS2,48.782848,11.476735,0.000000,0,14-4-2023,11:11:46
GPS3,48.782787,11.476677,0.000000,0,14-4-2023,11:11:46
GPS1,48.782859,11.476677,0.138900,0,14-4-2023,11:11:46
GPS2,48.782848,11.476735,0.010289,0,14-4-2023,11:11:47
GPS3,48.782787,11.476678,0.005144,0,14-4-2023,11:11:47
GPS1,48.782859,11.476677,0.041156,0,14-4-2023,11:11:47
GPS2,48.782848,11.476735,0.010289,0,14-4-2023,11:11:47
GPS3,48.782787,11.476678,0.005144,0,14-4-2023,11:11:47
GPS1,48.782859,11.476677,0.041156,0,14-4-2023,11:11:47
GPS2,48.782848,11.476736,0.005144,0,14-4-2023,11:11:48
GPS3,48.782787,11.476678,0.000000,0,14-4-2023,11:11:48
GPS1,48.782859,11.476675,0.010289,0,14-4-2023,11:11:48
GPS2,48.782848,11.476736,0.005144,0,14-4-2023,11:11:48
GPS3,48.782787,11.476678,0.000000,0,14-4-2023,11:11:48
GPS1,48.782859,11.476675,0.010289,0,14-4-2023,11:11:48
GPS2,48.782848,11.476736,0.010289,0,14-4-2023,11:11:49
GPS3,48.782787,11.476679,0.015433,0,14-4-2023,11:11:49
GPS1,48.782859,11.476675,0.025722,0,14-4-2023,11:11:49
GPS2,48.782848,11.476736,0.010289,0,14-4-2023,11:11:49
GPS3,48.782787,11.476679,0.015433,0,14-4-2023,11:11:49
GPS1,48.782859,11.476675,0.025722,0,14-4-2023,11:11:49
GPS2,48.782848,11.476736,0.000000,0,14-4-2023,11:11:50
GPS3,48.782787,11.476680,0.000000,0,14-4-2023,11:11:50
GPS1,48.782859,11.476675,0.030867,0,14-4-2023,11:11:50
GPS2,48.782848,11.476736,0.000000,0,14-4-2023,11:11:50
GPS3,48.782787,11.476680,0.000000,0,14-4-2023,11:11:50
GPS1,48.782859,11.476675,0.030867,0,14-4-2023,11:11:50
GPS2,48.782848,11.476737,0.046300,0,14-4-2023,11:11:51
GPS3,48.782787,11.476680,0.005144,0,14-4-2023,11:11:51
GPS1,48.782859,11.476673,0.046300,0,14-4-2023,11:11:51
GPS2,48.782848,11.476737,0.046300,0,14-4-2023,11:11:51
GPS3,48.782787,11.476680,0.005144,0,14-4-2023,11:11:51
GPS1,48.782859,11.476673,0.046300,0,14-4-2023,11:11:51
GPS2,48.782844,11.476735,0.493867,1845,14-4-2023,11:11:52
GPS3,48.782787,11.476680,0.329244,1845,14-4-2023,11:11:52
GPS1,48.782855,11.476670,0.499011,1845,14-4-2023,11:11:52
GPS2,48.782844,11.476735,0.493867,1845,14-4-2023,11:11:52
