GPS,Latitude,Longitude,Speed,RPM,Date,Time
GPS3,48.783496,11.475551,0.000000,0,14-4-2023,11:44:57
GPS2,48.783454,11.475499,0.000000,0,14-4-2023,11:45:1
GPS1,48.783527,11.475525,0.005144,0,14-4-2023,11:44:57
GPS3,48.783496,11.475551,0.000000,0,14-4-2023,11:44:57
GPS2,48.783454,11.475499,0.000000,0,14-4-2023,11:45:1
GPS1,48.783527,11.475525,0.005144,0,14-4-2023,11:44:57
GPS3,48.783500,11.475551,0.000000,0,14-4-2023,11:44:58
GPS2,48.783454,11.475499,0.015433,0,14-4-2023,11:45:2
GPS1,48.783527,11.475522,0.000000,0,14-4-2023,11:44:58
GPS3,48.783500,11.475551,0.000000,0,14-4-2023,11:44:58
GPS2,48.783454,11.475499,0.015433,0,14-4-2023,11:45:2
GPS1,48.783527,11.475522,0.000000,0,14-4-2023,11:44:58
GPS3,48.783500,11.475551,0.000000,0,14-4-2023,11:44:59
GPS2,48.783454,11.475501,0.000000,0,14-4-2023,11:45:3
GPS1,48.783527,11.475517,0.010289,0,14-4-2023,11:44:59
GPS3,48.783500,11.475551,0.000000,0,14-4-2023,11:44:59
GPS2,48.783454,11.475501,0.000000,0,14-4-2023,11:45:3
GPS1,48.783527,11.475517,0.010289,0,14-4-2023,11:44:59
GPS3,48.783500,11.475551,0.000000,0,14-4-2023,11:45:0
GPS2,48.783454,11.475502,0.010289,0,14-4-2023,11:45:4
GPS1,48.783531,11.475512,0.005144,0,14-4-2023,11:45:0
GPS3,48.783500,11.475551,0.000000,0,14-4-2023,11:45:0
GPS2,48.783454,11.475502,0.010289,0,14-4-2023,11:45:4
GPS1,48.783531,11.475512,0.005144,0,14-4-2023,11:45:0
GPS3,48.783500,11.475550,0.005144,0,14-4-2023,11:45:1
GPS2,48.783458,11.475502,0.005144,0,14-4-2023,11:45:5
GPS1,48.783531,11.475509,0.005144,0,14-4-2023,11:45:1
GPS3,48.783500,11.475550,0.005144,0,14-4-2023,11:45:1
GPS2,48.783458,11.475502,0.005144,0,14-4-2023,11:45:5
GPS1,48.783531,11.475509,0.005144,0,14-4-2023,11:45:1
GPS3,48.783500,11.475549,0.005144,0,14-4-2023,11:45:2
GPS2,48.783458,11.475502,0.005144,0,14-4-2023,11:45:6
GPS1,48.783527,11.475506,0.005144,0,14-4-2023,11:45:2
GPS3,48.783500,11.475549,0.005144,0,14-4-2023,11:45:2
GPS2,48.783458,11.475502,0.005144,0,14-4-2023,11:45:6
GPS1,48.783527,11.475506,0.005144,0,14-4-2023,11:45:2
GPS3,48.783500,11.475548,0.000000,0,14-4-2023,11:45:3
GPS2,48.783462,11.475502,0.000000,0,14-4-2023,11:45:7
GPS1,48.783527,11.475503,0.020578,0,14-4-2023,11:45:3
GPS3,48.783500,11.475548,0.000000,0,14-4-2023,11:45:3
GPS2,48.783462,11.475502,0.000000,0,14-4-2023,11:45:7
GPS1,48.783527,11.475503,0.020578,0,14-4-2023,11:45:3
GPS3,48.783504,11.475548,0.005144,0,14-4-2023,11:45:4
GPS2,48.783462,11.475502,0.010289,0,14-4-2023,11:45:8
GPS1,48.783527,11.475502,0.015433,0,14-4-2023,11:45:4
GPS3,48.783504,11.475548,0.005144,0,14-4-2023,11:45:4
GPS2,48.783462,11.475502,0.010289,0,14-4-2023,11:45:8
GPS1,48.783527,11.475502,0.015433,0,14-4-2023,11:45:4
GPS2,48.783462,11.475504,0.005144,0,14-4-2023,11:45:9
GPS3,48.783504,11.475548,0.000000,0,14-4-2023,11:45:5
GPS1,48.783527,11.475500,0.005144,0,14-4-2023,11:45:5
GPS2,48.783462,11.475504,0.005144,0,14-4-2023,11:45:9
GPS3,48.783504,11.475548,0.000000,0,14-4-2023,11:45:5
GPS1,48.783527,11.475500,0.005144,0,14-4-2023,11:45:5
GPS3,48.783504,11.475548,0.005144,0,14-4-2023,11:45:6
GPS2,48.783462,11.475506,0.000000,0,14-4-2023,11:45:10
GPS1,48.783527,11.475498,0.005144,0,14-4-2023,11:45:6
GPS3,48.783504,11.475548,0.005144,0,14-4-2023,11:45:6
GPS2,48.783462,11.475506,0.000000,0,14-4-2023,11:45:10
GPS1,48.783527,11.475498,0.005144,0,14-4-2023,11:45:6
GPS2,48.783466,11.475507,0.010289,0,14-4-2023,11:45:11
GPS3,48.783504,11.475548,0.005144,0,14-4-2023,11:45:7
GPS1,48.783527,11.475495,0.005144,0,14-4-2023,11:45:7
GPS2,48.783466,11.475507,0.010289,0,14-4-2023,11:45:11
GPS3,48.783504,11.475548,0.005144,0,14-4-2023,11:45:7
GPS1,48.783527,11.475495,0.005144,0,14-4-2023,11:45:7
GPS2,48.783466,11.475510,0.005144,0,14-4-2023,11:45:12
GPS3,48.783504,11.475548,0.005144,0,14-4-2023,11:45:8
GPS1,48.783527,11.475493,0.072022,0,14-4-2023,11:45:8
GPS2,48.783466,11.475510,0.005144,0,14-4-2023,11:45:12
GPS3,48.783504,11.475548,0.005144,0,14-4-2023,11:45:8
GPS1,48.783527,11.475493,0.072022,0,14-4-2023,11:45:8
GPS3,48.783500,11.475548,0.000000,0,14-4-2023,11:45:9
GPS2,48.783466,11.475512,0.005144,0,14-4-2023,11:45:13
